uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
36080	polderrunner	90	7	43	6	34	2	10/19/2008	07/24/2011	1008	167	15	0.16567460317460317
22009	Gerry Ferdinandus	118	68	49	33	0	0	08/14/2010	08/20/2010	7	167	101	23.857142857142858
27725	mvdriel	80	5	85	4	1	0	02/17/2008	04/24/2009	432	166	9	0.38425925925925924
46846	raaf	93	81	12	8	52	3	12/19/2010	06/13/2011	177	157	92	0.8870056497175142
5278	kleptog	147	62	10	0	0	0	03/17/2007	05/06/2008	417	157	62	0.3764988009592326
212170	Dantheman	119	78	34	19	0	0	12/26/2009	04/28/2010	123	153	97	1.2439024390243902
2539	jip	124	19	28	0	1	0	09/02/2006	12/24/2007	478	153	19	0.3200836820083682
17589	Till	129	56	23	9	0	0	10/10/2009	10/11/2009	1	152	65	152
67958	West Erop	40	6	24	1	85	1	10/23/2008	09/16/2011	1058	149	8	0.14083175803402648
61898	Hans van Wijk	87	33	19	5	43	0	12/22/2008	03/22/2010	455	149	38	0.3274725274725275
57577	TaedeT	0	0	0	0	149	0	08/15/2008	11/29/2010	837	149	0	0.17801672640382318
355755	Ximonn	108	99	27	19	0	0	10/07/2010	10/13/2010	6	135	118	22.5
48796	Ldp	8	5	6	2	119	0	07/22/2008	01/08/2011	900	133	7	0.14777777777777779
22961	Tobias Isenberg	115	0	10	1	5	0	12/18/2008	12/20/2008	3	130	1	43.333333333333336
301557	BikePC	78	76	27	18	24	1	06/10/2010	08/13/2011	429	129	95	0.3006993006993007
162879	Reinout	24	20	23	8	80	0	09/08/2009	07/31/2011	691	127	28	0.1837916063675832
216346	web	106	53	19	0	1	0	01/08/2010	01/08/2010	1	126	53	126
1679	andrewpmk	71	22	54	11	0	0	10/26/2007	03/08/2010	864	125	33	0.14467592592592593
22347	cartinus	14	14	3	1	106	0	02/01/2008	08/27/2011	1303	123	15	0.09439754412893323
15276	Ben Konrath	105	75	14	12	1	1	08/14/2010	09/14/2011	397	120	88	0.3022670025188917
355329	fluebbe	106	87	12	10	0	0	10/08/2010	10/10/2010	3	118	97	39.333333333333336
179235	Theo86	83	44	33	14	0	0	02/14/2010	04/01/2010	46	116	58	2.5217391304347827
20163	bri g	102	28	14	2	0	0	09/14/2009	09/21/2009	8	116	30	14.5
36719	Sandra B	49	7	61	2	0	0	05/02/2008	10/21/2008	172	110	9	0.6395348837209303
6072	Eimai	0	0	0	0	109	1	11/18/2008	06/18/2011	942	109	1	0.11571125265392782
91749	Frankl2009	50	41	29	11	28	0	08/26/2009	03/27/2011	578	107	52	0.185121107266436
5487	Jeroen Dekkers	106	106	0	0	0	0	04/28/2007	04/28/2007	1	106	106	106
290680	wheelmap_visitor	104	86	0	0	0	0	01/23/2011	09/07/2011	227	104	86	0.4581497797356828
245031	gbakhuis	78	58	26	8	0	0	06/12/2010	06/13/2010	2	104	66	52
91930	Mart van Santen	90	2	13	0	0	0	01/15/2009	01/17/2009	2	103	2	51.5
141567	cjacobs	74	63	27	20	0	0	07/15/2009	07/16/2009	2	101	83	50.5
94072	Chubus	64	22	35	0	0	0	01/25/2009	01/25/2009	1	99	22	99
116151	cruz	89	4	7	0	0	0	08/25/2009	09/12/2009	18	96	4	5.333333333333333
40015	TNEd	33	5	60	13	0	0	05/26/2008	05/26/2008	1	93	18	93
80994	splashy	73	18	19	8	0	0	01/04/2010	11/29/2010	330	92	26	0.2787878787878788
90110	user60551064	82	5	10	0	0	0	01/07/2009	01/07/2009	1	92	5	92
35560	HeikoE	0	0	0	0	91	0	11/02/2008	07/29/2010	634	91	0	0.14353312302839116
124466	Heros	78	73	10	3	1	1	04/24/2010	04/26/2010	3	89	77	29.666666666666668
268171	vics001	84	47	4	4	1	0	08/15/2010	09/18/2011	399	89	51	0.22305764411027568
371798	Léon	48	26	16	8	24	0	11/24/2010	09/08/2011	289	88	34	0.3044982698961938
65103	pendethan	16	13	2	1	70	0	03/22/2010	04/23/2011	397	88	14	0.2216624685138539
14125	MacFreek	69	45	17	8	1	0	11/26/2009	03/11/2011	471	87	53	0.18471337579617833
12630	Maurice Mulders	69	5	17	2	0	0	10/16/2007	06/29/2009	622	86	7	0.1382636655948553
294552	ZMWandelaar	5	4	71	23	10	0	07/27/2010	04/15/2011	262	86	27	0.3282442748091603
2050	Wilko Quak	85	85	1	1	0	0	08/31/2010	08/31/2010	1	86	86	86
7050	moonwashed	77	16	6	0	2	0	03/06/2009	03/15/2009	10	85	16	8.5
30208	The CEO	0	0	2	0	80	0	05/05/2008	08/25/2009	477	82	0	0.1719077568134172
215186	Menzel	0	0	0	0	81	0	05/25/2010	05/26/2010	1	81	0	81
230354	spoonstreet	79	5	1	0	0	0	02/06/2010	02/06/2010	1	80	5	80
240142	JvR	60	5	0	0	19	0	03/24/2010	07/18/2010	116	79	5	0.6810344827586207
268055	dePund	54	44	25	5	0	0	04/18/2010	05/15/2011	393	79	49	0.2010178117048346
187227	Remco Zut	39	18	35	18	4	2	10/16/2009	07/05/2011	627	78	38	0.12440191387559808
235649	ableeker	62	61	14	13	0	0	06/13/2011	06/18/2011	6	76	74	12.666666666666666
215166	kansloos	45	34	28	21	0	0	01/04/2010	06/06/2011	518	73	55	0.14092664092664092
128186	malcolmh	72	65	0	0	0	0	06/21/2011	08/25/2011	65	72	65	1.1076923076923078
90372	kbunny	57	9	14	0	0	0	01/09/2009	01/09/2009	1	71	9	71
28427	skunk	46	28	19	3	4	0	07/11/2009	07/12/2009	2	69	31	34.5
291194	katams	50	1	15	0	4	0	05/22/2010	05/26/2010	4	69	1	17.25
192955	zepaz	53	12	14	1	2	0	11/02/2009	11/07/2009	6	69	13	11.5
3246	onion	47	9	21	3	0	0	10/10/2009	10/12/2009	2	68	12	34
122213	kds_ch	0	0	0	0	67	0	08/19/2009	11/16/2010	455	67	0	0.14725274725274726
464776	dmgo	55	40	12	8	0	0	06/22/2011	06/29/2011	8	67	48	8.375
385787	Tourepel	35	31	22	11	9	0	01/16/2011	08/18/2011	214	66	42	0.308411214953271
334075	eggie	0	0	0	0	63	0	09/19/2010	09/07/2011	354	63	0	0.17796610169491525
1055	mkessels	62	62	0	0	0	0	05/14/2006	06/17/2007	400	62	62	0.155
